Size: 2, Avg. time: 0.0016, Avg. comparisons: 2
Size: 4, Avg. time: 0.0009, Avg. comparisons: 8
Size: 8, Avg. time: 0.0013, Avg. comparisons: 24
Size: 16, Avg. time: 0.0022, Avg. comparisons: 64
Size: 32, Avg. time: 0.0043, Avg. comparisons: 160
Size: 64, Avg. time: 0.0083, Avg. comparisons: 384
Size: 128, Avg. time: 0.0180, Avg. comparisons: 896
Size: 256, Avg. time: 0.0311, Avg. comparisons: 2048
Size: 512, Avg. time: 0.0681, Avg. comparisons: 4608
