Size: 2, Avg. time: 0.0008, Avg. comparisons: 1
Size: 4, Avg. time: 0.0005, Avg. comparisons: 3
Size: 8, Avg. time: 0.0010, Avg. comparisons: 13
Size: 16, Avg. time: 0.0015, Avg. comparisons: 31
Size: 32, Avg. time: 0.0025, Avg. comparisons: 89
Size: 64, Avg. time: 0.0051, Avg. comparisons: 222
Size: 128, Avg. time: 0.0109, Avg. comparisons: 553
Size: 256, Avg. time: 0.0231, Avg. comparisons: 1260
Size: 512, Avg. time: 0.0705, Avg. comparisons: 2858
