Div. size: 323, Avg. time: 2.160000
Div. size: 325, Avg. time: 2.052800
Div. size: 327, Avg. time: 2.107300
Div. size: 329, Avg. time: 2.151700
Div. size: 331, Avg. time: 2.146900
Div. size: 333, Avg. time: 2.172800
Div. size: 335, Avg. time: 2.183900
Div. size: 337, Avg. time: 2.207200
Div. size: 339, Avg. time: 2.213200
Div. size: 341, Avg. time: 2.269000
Div. size: 343, Avg. time: 2.183100
Div. size: 345, Avg. time: 2.410300
Div. size: 347, Avg. time: 2.265600
Div. size: 349, Avg. time: 2.355800
Div. size: 351, Avg. time: 2.333100
Div. size: 353, Avg. time: 2.527800
Div. size: 355, Avg. time: 2.428600
Div. size: 357, Avg. time: 2.438300
Div. size: 359, Avg. time: 2.419000
Div. size: 361, Avg. time: 2.376600
Div. size: 363, Avg. time: 2.348600
Div. size: 365, Avg. time: 2.502800
Div. size: 367, Avg. time: 2.364000
Div. size: 369, Avg. time: 2.590200
Div. size: 371, Avg. time: 2.420100
Div. size: 373, Avg. time: 2.499300
Div. size: 375, Avg. time: 2.402000
Div. size: 377, Avg. time: 2.381300
Div. size: 379, Avg. time: 2.434100
Div. size: 381, Avg. time: 2.445100
Div. size: 383, Avg. time: 2.488900
Div. size: 385, Avg. time: 2.469700
Div. size: 387, Avg. time: 2.525100
Div. size: 389, Avg. time: 2.439900
Div. size: 391, Avg. time: 2.541100
Div. size: 393, Avg. time: 2.441500
Div. size: 395, Avg. time: 2.639700
Div. size: 397, Avg. time: 2.511600
Div. size: 399, Avg. time: 2.552700
Div. size: 401, Avg. time: 2.590800
Div. size: 403, Avg. time: 2.563000
